k,l,t,current_theta,current_thetadot,force,next_theta,next_thetadot,reward
0,1,0,-0.0009135760365523993,-14.377674795509165,0,-0.07222989747511671,-14.263264287712863,-20.370156604560844
1,1,1,-0.07222989747511671,-14.263264287712863,3,-0.14097459968934356,-13.74894044284537,-28.002705518878763
2,1,2,-0.14097459968934356,-13.74894044284537,0,-0.20958643677451944,-13.722367417035173,-19.04996912521005
3,1,3,-0.20958643677451944,-13.722367417035173,3,-0.27605133752627975,-13.292980150352065,-27.05135383251564
4,1,4,-0.27605133752627975,-13.292980150352065,-3,-0.3450087636606427,-13.791485226872592,-28.615661711317724
5,1,5,-0.3450087636606427,-13.791485226872592,3,-0.4122025285331204,-13.438752974495538,-27.909562773596754
6,1,6,-0.4122025285331204,-13.438752974495538,-3,-0.4822628605871047,-14.01206641079686,-29.79668784356645
7,1,7,-0.4822628605871047,-14.01206641079686,3,-0.5509231984674173,-13.732067576062528,-29.37454984440263
8,1,8,-0.5509231984674173,-13.732067576062528,3,-0.6183717794646018,-13.489716199436891,-29.1091626023261
9,1,9,-0.6183717794646018,-13.489716199436891,-3,-0.6892160643638068,-14.16885697984101,-31.450744728404608
10,1,10,-0.6892160643638068,-14.16885697984101,-3,-0.7635956680429221,-14.875920735823076,-34.04469349511868
11,1,11,-0.7635956680429221,-14.875920735823076,0,-0.8394317273392277,-15.167211859261108,-26.527659682689677
12,1,12,-0.8394317273392277,-15.167211859261108,3,-0.9146535453223945,-15.044363596633358,-35.81624314262483
13,1,13,-0.9146535453223945,-15.044363596633358,-3,-0.9938396388599119,-15.837218707503474,-39.020335777775806
14,1,14,-0.9938396388599119,-15.837218707503474,0,-1.0748786011086904,-16.207792449755683,-32.04607364504261
15,1,15,-1.0748786011086904,-16.207792449755683,3,-1.155662945933296,-16.156868964921152,-41.78222569797936
16,1,16,-1.155662945933296,-16.156868964921152,3,-1.2363000954587249,-16.12742990508574,-42.65158916450165
17,1,17,-1.2363000954587249,-16.12742990508574,3,-1.316878766248883,-16.115734158031604,-43.642537170220564
18,1,18,-1.316878766248883,-16.115734158031604,-3,-1.4018996868312426,-17.004184116471908,-47.74084140637524
19,1,19,-1.4018996868312426,-17.004184116471908,3,-1.4869492686029335,-17.0099163543382,-48.98881607515221
20,1,20,-1.4869492686029335,-17.0099163543382,-3,-1.576490040166925,-17.908154312798285,-53.49680332282715
21,1,21,-1.576490040166925,-17.908154312798285,0,-1.6682809793676783,-18.35818784015062,-47.61811320802531
22,1,22,-1.6682809793676783,-18.35818784015062,-3,-1.7645055473832294,-19.244913603110234,-61.60406909284868
23,1,23,-1.7645055473832294,-19.244913603110234,0,-1.8628714174731056,-19.673174017975217,-56.0548271843448
24,1,24,-1.8628714174731056,-19.673174017975217,-3,-1.9655068116573178,-20.52707883684242,-70.45218169075096
25,1,25,-1.9655068116573178,-20.52707883684242,3,-2.067844170475797,-20.467471763695862,-72.27163760662243
26,1,26,-2.067844170475797,-20.467471763695862,0,-2.1719705164718444,-20.825269199209426,-66.95646334406894
27,1,27,-2.1719705164718444,-20.825269199209426,3,-2.2754949347217557,-20.704883649982225,-77.75860668565196
28,1,28,-2.2754949347217557,-20.704883649982225,0,-2.3804512588043627,-20.991264816521404,-72.39606083744931
29,1,29,-2.3804512588043627,-20.991264816521404,0,-2.48661430668896,-21.23260957691943,-75.99862449574016
30,1,30,-2.48661430668896,-21.23260957691943,3,-2.5915198568032025,-20.98111002284857,-86.60057362011412
31,1,31,-2.5915198568032025,-20.98111002284857,-3,-2.699352685101494,-21.56656565965824,-91.94420002805825
32,1,32,-2.699352685101494,-21.56656565965824,0,-2.807592760194254,-21.648015018551956,-86.27654095982106
33,1,33,-2.807592760194254,-21.648015018551956,0,-2.915939798018729,-21.669407564895014,-89.46984694970047
34,1,34,-2.915939798018729,-21.669407564895014,-3,-3.026299711469359,-22.071982690125903,-103.50969170551937
