u,index,value
"array([-1.5, -1. ])",0,2.7796696991503285
"array([-1.5, -1. ])",1,4.61499696590234
"array([-1.5, -1. ])",2,-3.283727565723859
"array([-1.5, -1. ])",3,23.32375507785392
"array([-1.5, -1. ])",4,29.580864748290935
"array([-1.5, -1. ])",5,12.927156612233455
"array([-1.5, -1. ])",6,61.44620458473688
"array([-1.5, -1. ])",7,67.5578940687001
"array([-1.5, -1. ])",8,143.0843300674326
"array([-1.5, -1. ])",9,115.18422553667418
"array([-1.5, -1. ])",10,14.49317524454648
"array([-1.5, -1. ])",11,73.80838496364132
"array([-1.5, -1. ])",12,98.40993035034043
"array([-1.5, -1. ])",13,190.7248884272773
"array([-1.5, -1. ])",14,125.95419355303173
"array([-1.5, -1. ])",15,5.022583944220798
"array([-1.5, -1. ])",16,49.87134744722863
"array([-1.5, -1. ])",17,131.87557787117436
"array([-1.5, -1. ])",18,130.45032025002334
"array([-1.5, -1. ])",19,76.45947103226068
"array([-1.5, -1. ])",20,5.356939895756369
"array([-1.5, -1. ])",21,33.56684452637548
"array([-1.5, -1. ])",22,83.73588138583237
"array([-1.5, -1. ])",23,35.6366860872463
"array([-1.5, -1. ])",24,11.601125203099294
"array([-1.5, -1. ])",25,19.845493688442996
"array([-1.5, -1. ])",26,13.34713810987577
"array([-1.5, -1. ])",27,-43.05301662627081
"array([-1.5, -1. ])",28,-25.333013177062863
"array([-1.5, -1. ])",29,13.268149099622688
"array([-1.5, -1. ])",30,47.31758777768002
"array([-1.5, -1. ])",31,237.80043064426627
"array([-1.5, -1. ])",32,168.38189168272984
"array([-1.5, -1. ])",33,110.59541824069875
"array([-1.5, -1. ])",34,151.29580697796183
"array([-1.5, -1. ])",35,32.79656700785482
"array([-1.5, -1. ])",36,281.42934481795896
"array([-1.5, -1. ])",37,210.02270928112253
"array([-1.5, -1. ])",38,186.04623516230126
"array([-1.5, -1. ])",39,164.46639089782892
"array([-1.5, -1. ])",40,8.665579621017711
